CodItem,Desc Item,Category,Family,Speciality,Testing Cost
70000240,"GAMA-GLUTAMIL TRANSFERASE (GAMA GT), SORO",CA,CORELAB,BIOCHEMISTRY,1.09
70000378,"FOSFATASE ALCALINA, SORO",CA,CORELAB,BIOCHEMISTRY,1.21
70001647,"PROTEINA C REATIVA (PCR), QUANTITATIVA, SORO",CA,CORELAB,IMMUNOHORMONE,3.83
70000644,"HEPATITE C (HCV), ANTICORPOS, SORO",CA,CORELAB,INFECTIOUS,2.63
70003926,"PERFIL HEPATITE B, HBEAG, HBEAC, HBSAG, HBCAG, HBSAC, SORO",CA,CORELAB,ELECTROPHORESIS,5.56
70002080,"TESTE ERGOMETRICO COMPUTADORIZADO (INCLUI ECG BASAL CONVENCIONAL), EM ESTEIRA",RID,CARDIO,ERGOMETRY,90.65
70000180,"PARASITOLOGICO (ELEMENTOS ANORMAIS), FEZES",CA,COPRO,PARASITOLOGY,4.04
70000552,"GRUPO SANGUINEO E RH, SANGUE",CA,HEMATO,IMMUNOHEMATOLOGY,5.18
70006362,ECODOPPLERCARDIOGRAMA TRANSTORACICO,RID,CARDIO,ECHOCARDIOGRAPHY,96.17
70000972,"SIFILIS, ANTICORPOS TOTAIS, PESQUISA, SORO",CA,CORELAB,INFECTIOUS,18.74
70006327,"PERFIL HEPATITE A, SORO",CA,GENETICS,BIOMOLECULAR,4.39
70000431,"CHAGAS (TRYPANOSOMA CRUZI), ANTICORPOS IGG , QUANTITATIVO, S",CA,CORELAB,INFECTIOUS,3.59
70005349,"HPV (PAPILOMA VIRUS HUMANO), DIVERSOS (XXX), PCR",CA,GENETICS,BIOMOLECULAR,36.9
70005524,OBSTETRICA MORFOLOGICA - US,RID,ULTRASOUND,FETAL MEDICINE,83.37
70005825,RM OMBRO DIREITO,RID,MRI,SKELETAL MUSCLE,236.47
70002279,RM JOELHO ESQUERDO,RID,MRI,SKELETAL MUSCLE,232.18
70006246,RM OMBRO ESQUERDO,RID,MRI,SKELETAL MUSCLE,234.28
70003430,RM JOELHO DIREITO,RID,MRI,SKELETAL MUSCLE,234.82
70002980,"ABDOME SUPERIOR (FIGADO, VIAS BILIARES, VESICULA, PANCREAS, BACO) - US",RID,ULTRASOUND,GENERAL,76.09
70002086,ABDOME TOTAL ( COM PELVE) - US,RID,ULTRASOUND,GENERAL,76.73
70002484,CURVA GLICEMICA GESTANTE (0/60/120),CA,CORELAB,BIOCHEMISTRY,1.09
70005300,VIAS URINARIAS (FEMININO) - ESTUDO SONOGRAFICO DINAMICO - US,RID,ULTRASOUND,GENERAL,74.42
70006032,"INSULINA, APOS ALMOCO, SORO/PLASMA",CA,CORELAB,IMMUNOHORMONE,1.58
70004149,"INSULINA, SORO/PLASMA",CA,CORELAB,IMMUNOHORMONE,1.65
70000227,"HEMOGLOBINA GLICADA (A1 TOTAL), SANGUE",CA,HEMATO,BLOOD COUNT,1.16
70000074,"GLICOSE 2 HORAS POS PRANDIAL, PLASMA",CA,CORELAB,BIOCHEMISTRY,0.99
70004056,"CREATINO FOSFOQUINASE TOTAL (CK), DOSAGEM, SORO",CA,CORELAB,BIOCHEMISTRY,1.27
70005538,TAXA DE 2¦ VIA DE LAUDO RDI,FEE,FEE,FEE,6.17
70003870,"HORMONIO GONODOTROFICO CORIONICO QUALITATIVO (HCG-BETA-HCG) - PESQUISA, SORO",CA,CORELAB,IMMUNOHORMONE,15.07
70006343,DENSITOMETRIA OSSEA - 2 SEGMENTOS (COLUNA E FEMUR),RID,DENSITO,DENSITOMETRY,95.12
70002031,COLPOSCOPIA (CERVICE UTERINA E VAGINA),RID,GENITOURIN,COLPOSCOPY,47.13
70006439,VULVOSCOPIA (VULVA E PERINEO),RID,GENITOURIN,VULVOSCOPY,46.97
70004076,"FSH - HORMONIO FOLICULO ESTIMULANTE, SORO",CA,CORELAB,IMMUNOHORMONE,1.65
70004113,"IDENTIFICACAO DE BACTERIAS, FEZES, CULTURA AUTOMATIZADA",CA,MICROBIO,CULTURE,11.45
70003378,TC ABDOME TOTAL,RID,CT SCAN,FETAL MEDICINE,293.01
70002138,ORGAOS SUPERFICIAIS (TIREOIDE) - US,RID,ULTRASOUND,GENERAL,74.79
70004875,MAMAS - US,RID,ULTRASOUND,GENERAL,75.9
70001495,"PEPTIDEO CITRULINATO, ANTICORPOS IGG, SORO",CA,CORELAB,IMMUNOHORMONE,10.32
70001362,"FATOR DE MUTACAO G20210 DO GENE DO FATOR II, SANGUE/TECIDO",CA,GENETICS,SPECIAL GENETICS,42.0
70002988,"US - APARELHO URINARIO FEMININO (BEXIGA, UTERO, OVARIO E ANEXOS)",RID,ULTRASOUND,GENERAL,76.15
70001590,"ESTRADIOL (E2), SORO",CA,CORELAB,IMMUNOHORMONE,1.98
70004905,"LH - HORMONIO LUTEINIZANTE (BASAL DE PROVA), SORO",CA,CORELAB,IMMUNOHORMONE,1.26
70000477,PROVAS DE FUNCAO HEPATICA,CA,CORELAB,BIOCHEMISTRY,2.95
70002724,"AMILASE , SORO",CA,CORELAB,BIOCHEMISTRY,1.75
70002114,GLANDULAS SALIVARES (SUBMANDIBULARES E PAROTIDAS) - BILATERAL - US,RID,ULTRASOUND,GENERAL,80.93
70006295,USG ORGAOS E ESTRUTURAS SUPERFICIAIS,RID,ULTRASOUND,GENERAL,74.7
70002843,"CALCIO IONICO, SORO (EXEMPLO DE EXPRESSAO DE RESULTADO: MG/DL)",CA,CORELAB,BIOCHEMISTRY,4.07
70005244,MAMOGRAFIA CONVENCIONAL BILATERAL,RID,MAMMO,MAMMOGRAPHY,119.68
70000115,CURVA GLICEMICA 2 HS (0/120),CA,CORELAB,BIOCHEMISTRY,1.08
70005289,ARTICULAR - JOELHO- DIREITO - US,RID,ULTRASOUND,SKELETAL MUSCLE,71.46
70002910,ECODOPPLERCARDIOGRAMA FETAL COM MAPEAMENTO DE FLUXO EM CORES,RID,CARDIO,ECHOCARDIOGRAPHY,182.88
70004128,"HTLV 1+2 ANTICORPOS, SORO",CA,CORELAB,INFECTIOUS,3.01
70005760,"PROLACTINA, SORO",CA,CORELAB,IMMUNOHORMONE,1.73
70003649,"HEMOSSEDIMENTACAO (VHS) 1A HORA, SANGUE",CA,HEMATO,BLOOD COUNT,2.67
70005261,"MICROALBUMINA, URINA AMOSTRA ISOLADA",CA,CORELAB,BIOCHEMISTRY,1.61
70002058,VASOS CERVICAIS ARTERIAIS BILATERAL (CAROTIDAS E VERTEBRAIS) - DOPPLER COLORIDO,RID,ULTRASOUND,DOPPLER,75.68
70004772,TIREOIDE - DOPPLER COLORIDO,RID,ULTRASOUND,DOPPLER,74.8
70006429,"GLIADINA (GLUTEN), ANTICORPOS IGM, PESQUISA, SORO",CA,CORELAB,IMMUNOHORMONE,18.88
70002747,"ANATOMO PATOLOGICO, DIVERSOS (XXX)",PA,ANATOMO,ANATOMOPATHOLOGICAL,45.6
70000512,"OXIURUS, PESQUISA POR ANAL SWAB",CA,COPRO,PARASITOLOGY,5.06
70000680,"CELULAS LE, PESQUISA, SANGUE",CA,HEMATO,IMMUNOHEMATOLOGY,12.17
70003594,"SCHISTOSOMA MANSONI, PESQUISA, FEZES",CA,COPRO,SPECIAL COPRO,5.98
70004848,PUNHO - ESQUERDO - RX,RID,X-RAY,CONVENTIONAL,63.03
70002152,PUNHO - DIREITO - RX,RID,X-RAY,CONVENTIONAL,62.81
70002141,MAO OU QUIRODACTILO - ESQUERDO - RX,RID,X-RAY,CONVENTIONAL,63.9
70003239,MAO OU QUIRODACTILO - DIREITO - RX,RID,X-RAY,CONVENTIONAL,63.71
70004492,"NEISSERIA GONORRHOEAE, PESQUISA, DIVERSOS (XXX), PCR",CA,GENETICS,BIOMOLECULAR,14.83
70004457,"CHLAMYDIA TRACHOMATIS, PESQUISA, DIVERSOS (XXX), PCR",CA,GENETICS,BIOMOLECULAR,16.61
70000882,"MYCOPLASMA SP+UREAPLASMA SP, DIVERSOS (XXX), CULTURA",CA,MICROBIO,CULTURE,6.57
70004828,"ADENOVIRUS, PESQUISA DE ANTIGENO, FEZES",CA,MICROBIO,BACTEROSCOPY,28.4
70002195,"GIARDIA LAMBLIA, ANTIGENO, FEZES",CA,CORELAB,IMMUNOHORMONE,15.94
70002156,TORAX - 2 INCIDENCIAS - RX,RID,X-RAY,CONVENTIONAL,66.88
70002374,"IDENTIFICACAO DE BACTERIAS, DIVERSOS (XXX), CULTURA AUTOMATIZADA",CA,MICROBIO,BACTEROSCOPY,8.21
70003861,"BACTERIOSCOPICO, DIVERSOS (XXX), GRAM",CA,MICROBIO,BACTEROSCOPY,14.91
70001053,"COMPLEMENTO C3, QUANTITATIVO, SORO",CA,CORELAB,IMMUNOHORMONE,2.93
70000923,"FATOR ANTI-NUCLEO (FAN), SORO",CA,CORELAB,AUTOIMMUNITY,3.9
70000941,"SSA (RO), ANTICORPOS, QUANTITATIVO, SORO",CA,CORELAB,IMMUNOHORMONE,3.81
70000172,"COOMBS DIRETO, SANGUE",CA,HEMATO,IMMUNOHEMATOLOGY,5.64
70000874,"COMPLEMENTO C4, QUANTITATIVO, SORO",CA,CORELAB,IMMUNOHORMONE,2.93
70003891,"SSB/LA, ANTICORPOS, QUANTITATIVO, SORO,IF",CA,CORELAB,IMMUNOHORMONE,14.22
70001309,"HORMONIO ANTI MULERIANO, SORO",CA,CORELAB,IMMUNOHORMONE,27.99
70001799,"HLA B27, SANGUE, PCR",CA,GENETICS,HLA,27.08
70005116,"GRUPO HX2-POEIRAS E ACAROS, IGE RAST, SORO",CA,CORELAB,ALLERGY,5.16
70001279,"IGE, TOTAL - QUANTITATIVO, SORO",CA,CORELAB,ALLERGY,3.11
70000963,"GRUPO FX5 - AMENDOIM, LEITE, OVO, PEIXE, SOJA, TRIGO, IGE RAST, SORO",CA,CORELAB,ALLERGY,4.39
70001138,"GRUPO EX1-PELO DE GATO, VACA, CAO, CAVALO, IGE RAST, SORO",CA,CORELAB,ALLERGY,4.7
70004893,VACINA IMUNOGLOBULINA ANTI RH,VX,VACCINE,VACCINE,51.66
70004540,"IMUNOELETROFORESE DE PROTEINAS, URINA DE 24 HORAS",CA,CORELAB,ELECTROPHORESIS,31.78
70004532,"IMUNOELETROFORESE DE PROTEINAS, SORO",CA,CORELAB,ELECTROPHORESIS,40.81
70004800,HOLTER DE 24 HORAS - 3 CANAIS - DIGITAL,RID,CARDIO,GRAPHICAL METHODS,86.26
70003300,VACINA PARA HPV QUADRIVALENTE,VX,VACCINE,VACCINE,131.35
70006360,MEMBRO INFERIOR - ESQUERDO - DOPPLER COLORIDO VENOSO,RID,ULTRASOUND,DOPPLER,72.25
70002903,MEMBRO INFERIOR - DIREITO - DOPPLER COLORIDO VENOSO,RID,ULTRASOUND,DOPPLER,72.52
70001706,RM CRANIO,RID,MRI,NEURAL,289.07
70000405,"TEMPO DE SANGRAMENTO, SANGUE (DUKE)",CA,HEMATO,COAGULATION,2.07
70000242,"TEMPO DE COAGULACAO, SANGUE (LEE WHITE)",CA,HEMATO,COAGULATION,2.09
70002149,TRIDIMENSIONAL - ACRESCENTAR AO EXAME DE BASE - US,RID,ULTRASOUND,FETAL MEDICINE,99.12
70000387,"LITIO, SORO (EXEMPLO DE EXPRESSAO DE RESULTADO: MEQ/L)",CA,CORELAB,BIOCHEMISTRY,4.33
70000508,"TOXOPLASMOSE, ANTICORPOS IGM, SORO",CA,CORELAB,INFECTIOUS,2.24
70000494,"TOXOPLASMOSE, ANTICORPOS IGG, SORO",CA,CORELAB,INFECTIOUS,1.67
70000453,"RUBEOLA, ANTICORPOS IGM, SORO, OUTROS METODOS",CA,CORELAB,INFECTIOUS,2.88
70004596,"RUBEOLA, ANTICORPOS IGG, SORO, OUTROS METODOS",CA,CORELAB,INFECTIOUS,1.99
70000824,"CITOMEGALOVIRUS, ANTICORPOS IGG, SORO",CA,CORELAB,INFECTIOUS,2.03
70004445,"SIFILIS, FTA-ABS IGM, SORO",CA,CORELAB,INFECTIOUS,3.59
70000860,"CITOMEGALOVIRUS, ANTICORPOS IGM, SORO",CA,CORELAB,BIOCHEMISTRY,2.13
70004107,"BILIRRUBINAS (DIRETA, INDIRETA E TOTAL), SORO",CA,CORELAB,BIOCHEMISTRY,1.86
70002989,ARTICULAR - OMBRO- DIREITO-US,RID,ULTRASOUND,SKELETAL MUSCLE,71.66
70004863,ARTICULAR - COTOVELO- DIREITO - US,RID,ULTRASOUND,SKELETAL MUSCLE,71.9
70005285,ARTICULAR - PUNHO- DIREITO - US,RID,ULTRASOUND,SKELETAL MUSCLE,71.33
70005588,VACINA MENINGOCOCICA B,VX,VACCINE,VACCINE,94.43
70001721,RM COLUNA LOMBAR,RID,MRI,SPINE,241.19
70005816,RM COLUNA CERVICAL,RID,MRI,SPINE,241.93
70001242,"MUTACAO R506Q, FATOR V DE LEIDEN, SANGUE, PCR EM TEMPO REAL",CA,GENETICS,SPECIAL GENETICS,50.03
70005182,"DETECCAO DAS MUTACOES C677T E A1298C NO GENE MTHFR, SANGUE",CA,GENETICS,SPECIAL GENETICS,20.24
70000251,"ANTITROMBINA III, DOSAGEM, PLASMA",CA,HEMATO,COAGULATION,8.62
70000085,"COLESTEROL - LDL, SORO (EXEMPLO DE EXPRESSAO DE RESULTADO: MG/DL)",CA,CORELAB,BIOCHEMISTRY,0.83
70004374,"TRIIODOTIRONINA (T3), SORO",CA,CORELAB,IMMUNOHORMONE,1.26
70001714,"TESTOSTERONA, TOTAL, SORO",CA,CORELAB,IMMUNOHORMONE,1.87
70004212,"TACROLIMUS (FK506 OU PROGRAF), SANGUE",CA,TOXICO,THERAPEUTIC DRUG,20.57
70006549,"TESTOSTERONA LIVRE E BIODISPONIVEL CALCULADAS, SORO",CA,CORELAB,IMMUNOHORMONE,3.33
70001630,"T3 REVERSO (TRIIODOTIRONINA REVERSO), SORO",CA,CORELAB,IMMUNOHORMONE,21.6
70001617,"SULFATO DE DEHIDROEPIANDROSTERONA, (S-DHEA), SORO",CA,CORELAB,IMMUNOHORMONE,3.84
70001127,"GLOBULINA TRANSPORTADORA DE HORMONIOS SEXUAIS (SHBG), SORO",CA,CORELAB,IMMUNOHORMONE,3.1
70000107,"LIPOPROTEINA (A), SORO (EXEMPLO DE EXPRESSAO DE RESULTADO: MG/DL)",CA,CORELAB,BIOCHEMISTRY,5.74
70001029,"DIHIDROTESTOSTERONA (DHT), SORO",CA,CORELAB,IMMUNOHORMONE,7.66
70000953,"CORTISOL, SALIVA",CA,CORELAB,IMMUNOHORMONE,2.34
70005385,"TIREOGLOBULINA, ANTICORPOS (ANTI- TG),SORO",CA,CORELAB,IMMUNOHORMONE,3.09
70003946,"PEROXIDASE TIREOIDEANA, ANTICORPOS (ANTI-TPO), QUANTITATIVO, SORO",CA,CORELAB,IMMUNOHORMONE,2.2
70000390,"PROTEINAS TOTAIS ALBUMINA E GLOBULINA, SORO",CA,CORELAB,BIOCHEMISTRY,1.26
70000359,"DESIDROGENASE LACTICA (DHL), SORO",CA,CORELAB,BIOCHEMISTRY,1.61
70000921,"HERPES SIMPLEX TIPO 1 E 2, ANTICORPOS IGG, SORO",CA,CORELAB,INFECTIOUS,5.94
70000665,"HERPES SIMPLEX TIPO 1 E 2, ANTICORPOS IGM, SORO",CA,CORELAB,INFECTIOUS,6.25
70005506,TAXA DE COLETA,FEE,FEE,FEE,6.92
70004451,"CTX - INTERLIGADORES TERMINAIS, SORO",CA,CORELAB,BIOCHEMISTRY,6.87
70001903,"CITOLOGIA ONCOTICA, CERVICO-VAGINAL",PA,CYTO,ONCOTIC CYTOLOGY,15.2
70001074,"DENGUE, ANTICORPOS IGG+IGM, SORO",CA,CORELAB,INFECTIOUS,20.69
70001720,RM PELVE,RID,MRI,INTERNAL MEDICINE,290.84
70006809,RM MATERIAIS/MEDICAMENTOS,RID,MRI,MAT / MED,0.0
70005311,"FEBRE AMARELA, ANTICORPOS IGM , SORO",CA,CORELAB,IMMUNOHORMONE,23.1
70005862,"FEBRE AMARELA, ANTICORPOS IGG , SORO",CA,CORELAB,IMMUNOHORMONE,61.76
70000448,"SANGUE OCULTO, PESQUISA, FEZES(COM DIETA ASSOCIADA)",CA,COPRO,HIDDEN BLOOD,4.9
70000637,"HEPATITE B, (HBSAC), ANTICORPO DE SUPERFICIE, SORO",CA,CORELAB,INFECTIOUS,1.88
70004716,"TRANSGLUTAMINASE TECIDUAL, ANTICORPOS IGG, SORO",CA,CORELAB,IMMUNOHORMONE,5.77
70003023,VACINA HPV BIVALENTE,VX,VACCINE,VACCINE,55.76
70006082,"BRUCELOSE, ANTICORPOS, SORO",CA,CORELAB,IMMUNOHORMONE,4.41
70000366,"HOMOCISTEINA, SORO/PLASMA (EXEMPLO DE EXPRESSAO DE RESULTADO: UMOL/L)",CA,CORELAB,CARDIAC MARKERS,4.71
70002500,"CALPROTECTINA, DETECCAO NAS FEZES",CA,COPRO,SPECIAL COPRO,20.22
70001835,"GONADOTROFINA CORIONICA (BETA HCG), URINA AMOSTRA ISOLADA,TEST PACK",CA,CORELAB,IMMUNOHORMONE,16.49
70004019,"FATOR REUMATOIDE (LATEX FR), SORO, NEFELOMETRIA",CA,CORELAB,IMMUNOHORMONE,3.98
70000389,"ANTIESTREPTOLISINA O (ASLO), QUANTITATIVO, SORO",CA,CORELAB,IMMUNOHORMONE,2.01
70006161,"NUCLEOSSOMO, ANTICORPOS, SORO",CA,CORELAB,IMMUNOHORMONE,13.7
70006036,"PROPEPTIDEO AMINO TERMINAL DO PROCOLAGENO TIPO 1, SORO (EXEMPLO DE EXPRESSAO DE RESULTADO: ÆG/L)",CA,CORELAB,BIOCHEMISTRY,89.0
70004444,TESTE FUNCIONAL - HGH (H. CRESCIMENTO) + GLICOSE APOS INSULINA,CA,CORELAB,IMMUNOHORMONE,4.63
70005214,BIOPSIA DO COLO UTERINO,RID,GENITOURIN,COLPOSCOPY,48.66
70004055,"HEPATITE B (HBCAC), ANTICORPO IGM CORE, SORO",CA,CORELAB,INFECTIOUS,2.57
70004313,"PROTEINA LIGADORA DO RETINOL (RBP), URINA AMOSTRA ISOLADA",CA,CORELAB,BIOCHEMISTRY,6.81
70000920,"DNA (HELICE SIMPLES),ANTICORPOS, QUANTITATIVO, SORO",CA,CORELAB,IMMUNOHORMONE,6.44
70003011,"OBSTETRICA, PRIMEIRO FETO- US",RID,ULTRASOUND,FETAL MEDICINE,82.12
70002077,DENTAL (DENTASCAN) - ARCADA INFERIOR- TC,RID,CT SCAN,HEAD AND NECK,153.41
70000256,"TEMPO DE TROMBOPLASTINA PARCIAL ATIVADA, PLASMA (TTP)",CA,HEMATO,COAGULATION,4.43
70002193,VACINA CONTRA FEBRE AMARELA,VX,VACCINE,VACCINE,11.15
70002845,"MAGNESIO, SANGUE (EXEMPLO DE EXPRESSAO DE RESULTADO: MG/DL)",CA,CORELAB,BIOCHEMISTRY,1.99
70006735,"CARDIOLIPINA, ANTICORPO IGG, SORO, FEIA",CA,CORELAB,IMMUNOHORMONE,2.25
70004054,"CARDIOLIPINA, ANTICORPO IGM, SORO, FEIA",CA,CORELAB,IMMUNOHORMONE,3.53
70005660,RM COLUNA DORSAL OU TORACICA,RID,MRI,SPINE,245.97
70006686,"MONONUCLEOSE, ANTI-VCA (EBV) IGG E IGM, QUANTITATIVO, SORO",CA,CORELAB,IMMUNOHORMONE,9.34
70003835,"PTH - (PARATORMONIO) MOLECULA INTACTA, SORO",CA,CORELAB,IMMUNOHORMONE,3.16
70001111,"DERMATOPHAGOIDES PTERONYSSINUS (D1), IGE RAST, SORO",CA,CORELAB,ALLERGY,5.12
70002227,"ALBUMINA SORO BOVINO (E204), IGE RAST, SORO",CA,CORELAB,ALLERGY,42.81
70000535,"GRUPO FX1-AMENDOIM+CASTANHA DO PARA+COCO+AVELA+AMENDOA, IGE, SORO",CA,CORELAB,ALLERGY,5.54
70004162,"GRUPO FX3-AVEIA+TRIGO SARRACENO+GERGELIM+TRIGO+MILHO, IGE, SORO",CA,CORELAB,ALLERGY,5.03
70004344,"FORMIGA (I70), IGE RAST, SORO",CA,CORELAB,ALLERGY,8.46
70004484,"MOSQUITO/PERNILONGO (I71), IGE RAST, SORO",CA,CORELAB,ALLERGY,10.27
70001083,"BLOMIA TROPICALIS (RD201), IGE RAST, SORO",CA,CORELAB,ALLERGY,7.46
70000676,"DERMATOPHAGOIDES FARINAE (D2), IGE RAST, SORO",CA,CORELAB,ALLERGY,5.83
70001034,"GRUPO FX2-BACALHAU+MEXILHAO+CAMARAO+SAMAO+ATUM, IGE RAST, SORO",CA,CORELAB,ALLERGY,5.35
70004164,"PROTEINAS TOTAIS, URINA DE 24 HORAS",CA,CORELAB,BIOCHEMISTRY,4.13
70005044,"HISTONA, ANTICORPOS, SORO, IE",CA,CORELAB,IMMUNOHORMONE,12.75
70002718,"METABOLISMO DO FERRO, SORO",CA,CORELAB,BIOCHEMISTRY,2.43
70007553,VACINA MENINGOCOCICA ACWY (NIMERIX) APARTIR 1 ANO,VX,VACCINE,VACCINE,8.23
70002069,MAOS E PUNHOS PARA IDADE OSSEA - RX,RID,X-RAY,CONVENTIONAL,68.91
70000309,"LIPASE, SORO",CA,CORELAB,BIOCHEMISTRY,3.25
70003399,RM ARTICULACAO TEMPOROMANDIBULAR,RID,MRI,HEAD AND NECK,246.02
70003604,"SELENIO, QUANTITATIVO, SORO",CA,TOXICO,TOXICOLOGY,2.94
70005537,"HEPATITE C (HCV), GENOTIPAGEM, SORO/PLASMA, PCR EM TEMPO REAL",CA,GENETICS,BIOMOLECULAR,88.77
